"label","type","caption","alt_text"
"kobe","figure","Kobe plot showing stock status. Triangles delineate start and end years. Horizontal and vertical dashed lines delineate the proportion of F/F~MSY~ where F~MSY~ = msy, and B/B~MSY~ where B~MSY~ = msy. Overfishing is occurring when F/F~MSY~ > 1 and an overfished status is indicated where B/B~MSY~ > 1.","A Kobe plot showing stock status. The x axis shows overfished status (i.e., B/B~MSY~) and the y axis shows overfishing (i.e., F/F~MSY~). The B/B~MSY~ and F/F~MSY~ for kobe.end.year were B.BMSY.end.yr and F.FMSY.end.yr, respectively, indicating that the stock overfished.status.is.isnot overfished and overfishing.status.is.is.not experiencing overfishing."
"biomass","figure","Biomass (B) time series. The horizontal dashed line represents the limit reference point (msy mt).","Line graph showing biomass time series. The x axis shows the year, which spans from 1887 to 2032. The y axis shows biomass in mt, which spans from 0.03 to 7184.72."
"relative_biomass","figure","Relative biomass (B) time series. The horizontal dashed line represents the limit reference point calculated as B/B(reference point) (B.ref.point mt).","Line graph showing relative biomass time series. The x axis shows the year, which spans from 1887 to 2032. The y axis shows relative biomass (B/B~target~), which spans from rel.B.min to rel.B.max mt."
"fishing_mortality","figure","Fishing mortality (F) over time. The horizontal dashed line represents the target reference point (msy).","Line graph showing fishing mortality over time. The x axis shows the year, which spans from 1889 to 2032. The y axis shows fishing mortality, which spans from 0.002 to 0.217."
"landings","figure","Historical landings by fleet.","Cumulative area plot showing historical landings. The x axis shows the year, which spans from 1889 to 2020. The y axis shows landings in mt, which spans from 0 to 3100.19."
"natural_mortality","figure","Natural mortality (M) for each age. ","Line graph showing natural mortality. The x axis shows age in years, which spans from M.age.min to M.age.max. The y axis shows the natural mortality rate per year, which spans from M.rate.min to M.rate.max."
"vonb.laa","figure","Aged and measured fish (points) and von Bertalanffy growth function (line) fit to the data.","Point and line graph showing observations of measured age and length data as points and the von Bertalanffy relationship fit to this data as a line with 95\\% confidence intervals. The x axis shows age in years, which spans from vonb.age.min to vonb.age.max. The y axis shows length in vonb.length.units, which spans from vonb.length.min to vonb.length.max."
"length.type.conversion","figure","Length-type conversion relationship between total and fork length where points represent individual fish length measurement observations and the line is the fitted relationship.","Point and line graph showing observations of measured fork length and measured total length from the same fish for conversion purposes as points, and a linear fit through those points as a line. The x axis shows total length in total.length.units, which spans from total.length.min to total.length.max. The y axis shows fork length in fork.length.units, which spans from fork.length.min to fork.length.max."
"weight.length.converstion","figure","Weight-length conversion relationship where the points represent individual fish observations and the line is the fitted relationship. ","Point and line graph showing observations of measured length and measured weight from the same fish for conversion purposes as points, and an exponential fit through those points as a line. The x axis shows length in wl.length.units, which spans from wl.length.min to wl.length.max. The y axis shows weight in wl.weight.units, which spans from wl.weight.min to wl.weight.max."
"maturity.schedule","figure","The relationship between the proportion mature and fish length. ","Graph showing the relationship between fish maturity and length. Points, if present, show observations of maturity at different fish lengths and the line represents either the fit to the points, or the assumed or known maturity schedule. The x axis shows length in prop.mat.length.units, which spans from prop.mat.length.min to prop.mat.length.max. The y axis shows the proportion mature, which spans from 0--1."
"fecundity.at.length","figure","Fecundity (in number of eggs) as a function of fish length. ","Point and line graph showing observations of measured fecundity and measured length from the same fish and an exponential fit through those points displayed as a line. The x axis shows length in fecundity.length.units, which spans from fecundity.length.min to fecundity.length.max. The y axis shows fecundity in fecundity.units, which spans from fecundity.min to fecundity.max."
"catch","figure","Historical catch for each year in which there is composition data, for each fleet or survey.","Cumulative area plot showing the catch for each year and fleet or survey. The x axis shows the year, which spans from catch.year.min to catch.year.max. The y axis shows the proportion of the total catch by each fleet or survey and spans from tot.catch.min to tot.catch.max."
"CAL","figure","Histograms showing the proportion of the catch in each length group, each year for which there is composition data, for fleet or survey fleet.or.survey.name.","Histograms for each year and fleet for which there is data (one per year grouped by fleet or survey), which show the proportion of the catch in each length group. The x axis of each histogram contains length intervals, which span from cal.length.min to cal.length.max. The y axis of each histogram contains the proportion of the catch and spans from 0--1."
"index","figure","Catch per unit effort (CPUE) over time for fleet or survey. 95\\% confidence intervals are shown for each survey/fleet.","Line graph showing catch per unit effort (CPUE) over time, stratified by survey/fleet. The x axis shows the year, which spans from 1980 to 2020. The y axis shows CPUE in an estimated index ratio, which spans from 0.315 to 19959."
"abundance_at_age","figure","Model estimate of population numbers at age over time. The relative size of each bubble for a given year and age indicates the relative abundance in that category compared with others. ","Bubble plot showing relative age proportions over time. The x axis shows the year, which spans from 1887 to 2032. The y axis shows age in years, which spans from 0 to 25. The size of the bubbles range from 0.002 to 23721.3."
"mod.fit.catch","figure","Observed catch from the data input file (points) and model estimated catch (line) over time for fleet.or.survey.name. ","Point and line graph showing observed catch from the data input file as points and model estimated catch as a line over time for fleet.or.survey.name. The x axis shows years, which spans from mod.fit.catch.start.year to mod.fit.catch.end.year. The y axis shows catch in mod.fit.catch.units, which spans from mod.fit.catch.min to mod.fit.catch.max."
"mod.fit.abun","figure","Assessment model fits to input catch per unit of effort index values over time calculated from fleet.or.survey.name.","Point and line graph showing the assessment model fit, displayed as a line, to input catch per unit effort index values, displayed as points over time, for fleet.or.survey.name. The x axis shows years, which spans from mod.fit.abun.start.year to mod.fit.abun.end.year. The y axis shows catch per unit effort in an estimated index ratio, which spans from 0.315 to 19959."
"mod.fit.discards","figure","Observed discards (points) and estimated discards (line).","Point and line graph showing the assessment model fit to observed discards. Observed discards are represented as points while the model fitted estimates are represented as a line over time for fleet.or.survey.name. The x axis shows the year, which spans from mod.fit.discards.start.year to mod.fit.discards.end.year. The y axis shows discards in mod.fit.discards.units, which spans from mod.fit.discards.min to mod.fit.discards.max."
